Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
RSG,REPUBLIC SERVICES INC,Industrials,Equity,"14,086,321.96",0.09,"14,086,321.96","54,926.00",256.46,United States,New York Stock Exchange Inc.,USD,1.00,--
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,"14,003,192.65",0.09,"14,003,192.65","81,145.00",172.57,United States,New York Stock Exchange Inc.,USD,1.00,--
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"13,950,289.40",0.09,"13,950,289.40","86,230.00",161.78,United States,New York Stock Exchange Inc.,USD,1.00,--
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity,"13,917,965.96",0.09,"13,917,965.96","53,756.00",258.91,United States,NASDAQ,USD,1.00,--
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"13,789,153.98",0.09,"13,789,153.98","85,134.00",161.97,United States,New York Stock Exchange Inc.,USD,1.00,--
PWR,QUANTA SERVICES INC,Industrials,Equity,"13,760,157.51",0.09,"13,760,157.51","38,599.00",356.49,United States,New York Stock Exchange Inc.,USD,1.00,--
OKE,ONEOK INC,Energy,Equity,"13,675,333.12",0.09,"13,675,333.12","164,288.00",83.24,United States,New York Stock Exchange Inc.,USD,1.00,--
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"13,551,775.08",0.09,"13,551,775.08","27,778.00",487.86,United States,NASDAQ,USD,1.00,--
PAYX,PAYCHEX INC,Industrials,Equity,"13,466,600.25",0.09,"13,466,600.25","85,097.00",158.25,United States,NASDAQ,USD,1.00,--
COR,CENCORA INC,Health Care,Equity,"13,380,978.80",0.09,"13,380,978.80","45,896.00",291.55,United States,New York Stock Exchange Inc.,USD,1.00,--
BDX,BECTON DICKINSON,Health Care,Equity,"13,129,215.12",0.09,"13,129,215.12","76,932.00",170.66,United States,New York Stock Exchange Inc.,USD,1.00,--
SRE,SEMPRA,Utilities,Equity,"13,101,158.43",0.09,"13,101,158.43","168,417.00",77.79,United States,New York Stock Exchange Inc.,USD,1.00,--
AMP,AMERIPRISE FINANCE INC,Financials,Equity,"13,082,487.60",0.09,"13,082,487.60","25,490.00",513.24,United States,New York Stock Exchange Inc.,USD,1.00,--
O,REALTY INCOME REIT CORP,Real Estate,Equity,"12,973,540.29",0.09,"12,973,540.29","231,629.00",56.01,United States,New York Stock Exchange Inc.,USD,1.00,--
CTVA,CORTEVA INC,Materials,Equity,"12,974,235.12",0.09,"12,974,235.12","182,248.00",71.19,United States,New York Stock Exchange Inc.,USD,1.00,--
USD,USD CASH,Cash and/or Derivatives,Cash,"12,948,396.39",0.08,"12,948,396.39","12,948,396.00",100.00,United States,--,USD,1.00,--
FDX,FEDEX CORP,Industrials,Equity,"12,903,943.14",0.08,"12,903,943.14","58,713.00",219.78,United States,New York Stock Exchange Inc.,USD,1.00,--
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"12,863,041.40",0.08,"12,863,041.40","262,190.00",49.06,United States,New York Stock Exchange Inc.,USD,1.00,--
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Equity,"12,859,252.56",0.08,"12,859,252.56","179,298.00",71.72,United States,NASDAQ,USD,1.00,--
